ds,ticker,y
2023-06-21 11:00:00,방이동 먹자골목,0.03392
2023-06-21 11:00:00,올림픽공원세계평화의문,0.05331
2023-06-21 11:00:00,잠실역 롯데월드,0.03898
2023-06-21 12:00:00,롯데백화점에비뉴엘월드타워점,0.11769
2023-06-21 12:00:00,롯데월드몰,0.02325
2023-06-21 12:00:00,롯데월드잠실점,0.1226
2023-06-21 12:00:00,방이동 먹자골목,0.03476
2023-06-21 12:00:00,올림픽공원세계평화의문,0.04482
2023-06-21 12:00:00,잠실역 롯데월드,0.04418
2023-06-21 13:00:00,롯데백화점에비뉴엘월드타워점,0.11228
2023-06-21 13:00:00,롯데월드몰,0.02479
2023-06-21 13:00:00,롯데월드잠실점,0.13014
2023-06-21 13:00:00,방이동 먹자골목,0.03311
2023-06-21 13:00:00,올림픽공원세계평화의문,0.04482
2023-06-21 13:00:00,잠실역 롯데월드,0.04547
2023-06-21 14:00:00,롯데백화점에비뉴엘월드타워점,0.11285
2023-06-21 14:00:00,롯데월드몰,0.02575
2023-06-21 14:00:00,롯데월드잠실점,0.14837
2023-06-21 14:00:00,방이동 먹자골목,0.03289
2023-06-21 14:00:00,올림픽공원세계평화의문,0.04657
2023-06-21 14:00:00,잠실역 롯데월드,0.04698
2023-06-21 15:00:00,롯데백화점에비뉴엘월드타워점,0.11605
2023-06-21 15:00:00,롯데월드몰,0.02728
2023-06-21 15:00:00,롯데월드잠실점,0.14523
2023-06-21 15:00:00,방이동 먹자골목,0.03323
2023-06-21 15:00:00,올림픽공원세계평화의문,0.05067
2023-06-21 15:00:00,잠실역 롯데월드,0.04713
2023-06-21 16:00:00,롯데백화점에비뉴엘월드타워점,0.11143
2023-06-21 16:00:00,롯데월드몰,0.02553
2023-06-21 16:00:00,롯데월드잠실점,0.15402
2023-06-21 16:00:00,방이동 먹자골목,0.03324
2023-06-21 16:00:00,올림픽공원세계평화의문,0.05536
2023-06-21 16:00:00,잠실역 롯데월드,0.04541
2023-06-21 17:00:00,롯데백화점에비뉴엘월드타워점,0.11228
2023-06-21 17:00:00,롯데월드몰,0.02564
2023-06-21 17:00:00,롯데월드잠실점,0.14365
2023-06-21 17:00:00,방이동 먹자골목,0.03569
2023-06-21 17:00:00,올림픽공원세계평화의문,0.04716
2023-06-21 17:00:00,잠실역 롯데월드,0.04397
2023-06-21 18:00:00,롯데백화점에비뉴엘월드타워점,0.11477
2023-06-21 18:00:00,롯데월드몰,0.02628
2023-06-21 18:00:00,롯데월드잠실점,0.12567
2023-06-21 18:00:00,방이동 먹자골목,0.04027
2023-06-21 18:00:00,올림픽공원세계평화의문,0.03486
2023-06-21 18:00:00,잠실역 롯데월드,0.04457
2023-06-21 19:00:00,롯데백화점에비뉴엘월드타워점,0.09955
2023-06-21 19:00:00,롯데월드몰,0.02373
2023-06-21 19:00:00,롯데월드잠실점,0.11357
2023-06-21 19:00:00,방이동 먹자골목,0.04279
2023-06-21 19:00:00,올림픽공원세계평화의문,0.0372
2023-06-21 19:00:00,잠실역 롯데월드,0.0367
2023-06-21 20:00:00,롯데백화점에비뉴엘월드타워점,0.07891
2023-06-21 20:00:00,롯데월드몰,0.01933
2023-06-21 20:00:00,롯데월드잠실점,0.0838
2023-06-21 20:00:00,방이동 먹자골목,0.04338
2023-06-21 20:00:00,올림픽공원세계평화의문,0.03632
2023-06-21 20:00:00,잠실역 롯데월드,0.03013
2023-06-21 21:00:00,롯데백화점에비뉴엘월드타워점,0.04611
2023-06-21 21:00:00,롯데월드몰,0.0119
2023-06-21 21:00:00,롯데월드잠실점,0.02686
2023-06-21 21:00:00,방이동 먹자골목,0.04161
2023-06-21 21:00:00,올림픽공원세계평화의문,0.04013
2023-06-21 21:00:00,잠실역 롯데월드,0.023
2023-06-21 22:00:00,롯데백화점에비뉴엘월드타워점,0.01338
2023-06-21 22:00:00,롯데월드몰,0.00489
2023-06-21 22:00:00,롯데월드잠실점,0.01437
2023-06-21 22:00:00,방이동 먹자골목,0.03709
2023-06-21 22:00:00,올림픽공원세계평화의문,0.02138
2023-06-21 22:00:00,잠실역 롯데월드,0.01849
2023-06-21 23:00:00,롯데백화점에비뉴엘월드타워점,0.00939
2023-06-21 23:00:00,롯데월드몰,0.00207
2023-06-21 23:00:00,롯데월드잠실점,0.00377
2023-06-21 23:00:00,방이동 먹자골목,0.03285
2023-06-21 23:00:00,올림픽공원세계평화의문,0.00059
2023-06-21 23:00:00,잠실역 롯데월드,0.01519
2023-06-22 00:00:00,롯데백화점에비뉴엘월드타워점,0.00676
2023-06-22 00:00:00,롯데월드몰,0.00136
2023-06-22 00:00:00,롯데월드잠실점,0.00189
2023-06-22 00:00:00,방이동 먹자골목,0.02976
2023-06-22 00:00:00,올림픽공원세계평화의문,0.0
2023-06-22 00:00:00,잠실역 롯데월드,0.01266
2023-06-22 01:00:00,롯데백화점에비뉴엘월드타워점,0.00655
2023-06-22 01:00:00,롯데월드몰,0.00129
2023-06-22 01:00:00,롯데월드잠실점,0.00181
2023-06-22 01:00:00,방이동 먹자골목,0.02706
2023-06-22 01:00:00,올림픽공원세계평화의문,0.0
2023-06-22 01:00:00,잠실역 롯데월드,0.01165
2023-06-22 02:00:00,롯데백화점에비뉴엘월드타워점,0.00576
2023-06-22 02:00:00,롯데월드몰,0.00103
2023-06-22 02:00:00,롯데월드잠실점,0.00157
2023-06-22 02:00:00,방이동 먹자골목,0.02416
2023-06-22 02:00:00,올림픽공원세계평화의문,0.0
2023-06-22 02:00:00,잠실역 롯데월드,0.01198
2023-06-22 03:00:00,롯데백화점에비뉴엘월드타워점,0.00505
2023-06-22 03:00:00,롯데월드몰,0.00103
2023-06-22 03:00:00,롯데월드잠실점,0.00126
2023-06-22 03:00:00,방이동 먹자골목,0.02292
2023-06-22 03:00:00,올림픽공원세계평화의문,0.0
2023-06-22 03:00:00,잠실역 롯데월드,0.01146
2023-06-22 04:00:00,롯데백화점에비뉴엘월드타워점,0.00502
2023-06-22 04:00:00,롯데월드몰,0.00094
2023-06-22 04:00:00,롯데월드잠실점,0.00162
2023-06-22 04:00:00,방이동 먹자골목,0.02205
2023-06-22 04:00:00,올림픽공원세계평화의문,0.0
2023-06-22 04:00:00,잠실역 롯데월드,0.01183
2023-06-22 05:00:00,롯데백화점에비뉴엘월드타워점,0.00546
2023-06-22 05:00:00,롯데월드몰,0.00094
2023-06-22 05:00:00,롯데월드잠실점,0.00224
2023-06-22 05:00:00,방이동 먹자골목,0.02275
2023-06-22 05:00:00,올림픽공원세계평화의문,0.0
2023-06-22 05:00:00,잠실역 롯데월드,0.01214
2023-06-22 06:00:00,롯데백화점에비뉴엘월드타워점,0.00723
2023-06-22 06:00:00,롯데월드몰,0.00128
2023-06-22 06:00:00,롯데월드잠실점,0.00456
2023-06-22 06:00:00,방이동 먹자골목,0.02526
2023-06-22 06:00:00,올림픽공원세계평화의문,0.0
2023-06-22 06:00:00,잠실역 롯데월드,0.01475
2023-06-22 07:00:00,롯데백화점에비뉴엘월드타워점,0.01417
2023-06-22 07:00:00,롯데월드몰,0.00296
2023-06-22 07:00:00,롯데월드잠실점,0.01097
2023-06-22 07:00:00,방이동 먹자골목,0.02576
2023-06-22 07:00:00,올림픽공원세계평화의문,0.0345
2023-06-22 07:00:00,잠실역 롯데월드,0.01705
